,Year,Entity,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,petrol_number,diesel_gas_number,co2_per_km
117,2008,Spain,0.0,0.0,3908.0,351986.0,805282.0,151.0813985
118,2008,Sweden,0.0,0.0,4153.0,103370.0,146400.0,174.836047
119,2008,United Kingdom,179.0,0.0,15385.0,1188689.0,926604.0,158.1411016
120,2009,Austria,39.0,0.0,1057.0,169702.0,148430.0,152.0084463
121,2009,Belgium,0.0,0.0,1837.007736,115865.4879,357224.5043,142.9311423
122,2009,Denmark,78.00139332,0.0,57.00101819,61854.10488,49975.89271,143.4594198
123,2009,Finland,1.0,0.0,780.0,47665.0,41815.0,158.478958
124,2009,France,10.00000892,0.0,9833.008768,657106.5859,1575944.405,134.3119022
125,2009,Germany,152.0,0.0,8095.0,2628234.0,1153083.0,155.6187549
126,2009,Greece,1.000176939,0.0,1676.29655,211616.4366,7160.266706,158.0114051
127,2009,Ireland,2.100884891,0.0,262.6106114,25308.30984,31881.97866,144.0371879
128,2009,Italy,44.0,0.0,7561.0,1250274.0,907202.0,141.0942795
129,2009,Luxembourg,0.0,0.0,128.0,12654.0,34483.0,152.6493529
130,2009,Netherlands,22.15808445,0.0,16390.93938,292616.6417,78249.26086,148.5294214
131,2009,Portugal,0.0,0.0,1151.0,52725.0,107033.0,134.8901179
132,2009,Spain,1.0,0.0,4772.0,279683.0,668660.0,145.2637271
133,2009,Sweden,21.0,0.0,3058.0,83718.0,125432.0,165.6361492
134,2009,United Kingdom,55.0,0.0,14645.0,1142349.0,831908.0,150.6458875
135,2010,Austria,112.0003415,0.0,1248.003805,158336.4827,168316.5131,146.5040375
136,2010,Belgium,36.00065908,0.0,4074.074586,129038.3624,413074.5624,136.2265537
137,2010,Denmark,42.00109591,0.0,146.0038096,82200.1448,70912.85029,136.1937781
138,2010,Finland,14.00012569,0.0,1123.010082,63779.5726,46469.41719,151.1872065
139,2010,France,184.0,0.0,9634.0,639025.0,1554298.0,132.0575367
140,2010,Germany,380.000132,0.0,10022.00348,1681641.584,1185746.412,153.2916067
141,2010,Greece,0.0,0.0,1090.721098,134759.1932,5646.085686,144.9083499
142,2010,Ireland,17.26469405,0.0,682.4632002,28628.92502,59051.34708,132.8156918
143,2010,Italy,104.0,0.0,4819.0,1056337.0,906116.0,136.1480672
144,2010,Luxembourg,1.0,0.0,245.0,12069.0,37411.0,147.250129
145,2010,Netherlands,121.0035069,0.0,16101.46665,368167.6702,98670.85966,137.5385197
146,2010,Portugal,18.0,0.0,1487.0,72969.0,148953.0,129.5320567
147,2010,Spain,69.0,0.0,7122.0,280888.0,693806.0,141.2617278
148,2010,Sweden,9.0,0.0,3628.0,102776.0,182380.0,155.6309706
149,2010,United Kingdom,167.0,0.0,22148.0,1067527.0,935192.0,145.7641398
150,2011,Austria,633.0,0.0,1304.0,158142.0,196065.0,141.0088371
151,2011,Belgium,277.0009682,0.0,6663.023289,134332.4695,430936.5062,133.1690637
152,2011,Denmark,457.0053763,0.0,240.0028234,87895.03401,81415.95779,129.4312632
153,2011,Finland,30.0,0.0,1136.0,71419.0,53584.0,145.7274967
154,2011,France,2654.0,0.0,12805.0,581470.0,1568874.0,128.9464703
155,2011,Germany,2204.004167,0.0,11708.02214,1660602.14,1498958.834,147.4239412
156,2011,Greece,0.0,0.0,999.2864487,86989.93595,9689.777606,135.1740304
157,2011,Ireland,46.47041108,0.0,564.7165172,24264.62617,65020.18691,129.0846941
158,2011,Italy,291.0,0.0,5048.0,775104.0,963546.0,130.569547
159,2011,Luxembourg,31.0,0.0,283.0,11363.0,38204.0,143.919164
160,2011,Netherlands,877.0047327,0.0,14887.08034,383148.0677,157004.8473,128.1435678
161,2011,Portugal,205.0,0.0,977.0,45274.0,107030.0,125.7266494
162,2011,Spain,377.0,0.0,9626.0,229755.0,568300.0,136.6992573
163,2011,Sweden,183.0,0.0,2907.0,98771.0,203122.0,146.4724475
164,2011,United Kingdom,1102.000569,0.0,23369.01206,929590.4799,983043.5075,139.8220062
165,2012,Austria,619.0,0.0,1982.0,142740.0,190669.0,137.3834747
166,2012,Belgium,826.0,0.0,4958.0,145719.0,335233.0,131.7362714
167,2012,Denmark,539.0,0.0,424.0,101769.0,68051.0,119.0916719
168,2012,Finland,105.0,0.0,1439.0,65647.0,44101.0,140.6193032
169,2012,France,5913.0,0.0,24920.0,471131.0,1358560.0,125.47727
170,2012,Germany,3572.0,0.0,20281.0,1569937.0,1488562.0,142.5809162
171,2012,Greece,2.0,0.0,459.0,34693.0,23327.0,122.4275582
172,2012,Ireland,137.0,0.0,645.0,19349.0,59367.0,125.7046408
173,2012,Italy,601.0,0.0,6481.0,646971.0,742026.0,126.0488437
174,2012,Luxembourg,99.0,0.0,603.0,11333.0,38363.0,138.3330226
